energy_meV,median,lower,upper
99.0,11.848566674206873,10.399236123248519,13.266498115840843
100.0,11.900575397442822,10.438622234987774,13.32727344048415
101.0,11.952357815398475,10.47808554920679,13.388029187296238
102.0,12.003916856776906,10.51776760909038,13.448363429317508
103.0,12.055255387651826,10.557164807435994,13.508194987652942
104.0,12.106376213326762,10.596524107294496,13.567961104893888
105.0,12.157282080123819,10.635377733267916,13.627551055563616
106.0,12.207975677105333,10.67440819094247,13.687098758169213
107.0,12.25845963773145,10.712656658184244,13.745920667316144
108.0,12.308736541456511,10.751128404252814,13.804672322398146
109.0,12.358808915266973,10.78947154441807,13.863315689504404
110.0,12.408679235163511,10.82729853713885,13.92161583680186
111.0,12.45834992758968,10.864721617907135,13.979755686737938
112.0,12.507823370809543,10.902765509943723,14.037698335316382
113.0,12.557101896236452,10.940130434395307,14.095252056913235
114.0,12.60618778971505,10.977651415706253,14.152657936852554
115.0,12.655083292758544,11.015290551017092,14.209963443221008
116.0,12.703790603743125,11.052378430366604,14.266617931196949
117.0,12.752311879061292,11.089404029524193,14.323100331908943
118.0,12.800649234235875,11.126427716416298,14.379481433582548
119.0,12.848804744996288,11.163178230825098,14.435921419521696
120.0,12.896780448318673,11.199700497293543,14.492089309414657
121.0,12.944578343431292,11.236463561415118,14.548020908701478
122.0,12.992200392786671,11.272799472195167,14.60360466430792
123.0,13.039648523001754,11.308800014479575,14.659103870287078
124.0,13.086924625767411,11.34483560568073,14.714380770871225
125.0,13.134030558728465,11.380706891290934,14.76947869048054
126.0,13.180968146335411,11.416798683173203,14.824471443470811
127.0,13.227739180668951,11.4524874561046,14.87904653292669
128.0,13.274345422238348,11.488383420063553,14.933347982447323
129.0,13.320788600754682,11.524068306174943,14.987690914893887
130.0,13.367070415879892,11.559103051634409,15.041840269662467
131.0,13.413192537952595,11.594164592166004,15.095560597740432
132.0,13.459156608691453,11.629424521096233,15.14929189540677
133.0,13.504964241877076,11.66476461261216,15.202539738478794
134.0,13.55061702401312,11.700026854116098,15.255825379700939
135.0,13.59611651496742,11.734676802964758,15.30890164559572
136.0,13.6414642485939,11.769332934236592,15.361754649987827
137.0,13.686661733335898,11.803781884738541,15.414477347340608
138.0,13.731710452811656,11.838419748549105,15.467022220207413
139.0,13.776611866382552,11.87263986299937,15.519581112331945
140.0,13.821367409704736,11.90673656252783,15.571920459345609
141.0,13.865978495264727,11.941453782527773,15.62387312376392
142.0,13.910446512899561,11.975914427887083,15.675808552270222
143.0,13.954772830302012,12.009491566819605,15.72744911151291
144.0,13.998958793511427,12.043387707817311,15.77886642761253
145.0,14.04300572739065,12.076881857198055,15.830132783702233
146.0,14.086914936089528,12.110441771583398,15.881419810245776
147.0,14.130687703495463,12.144036838133948,15.932548645695704
148.0,14.174325293671426,12.177314399142336,15.983406609543575
149.0,14.217828951281883,12.211022070447946,16.03428192241119
150.0,14.261199902007014,12.244478094729883,16.084781859088878
151.0,14.304439352945668,12.277994502095249,16.135174439214286
152.0,14.347548493007306,12.311277142184036,16.18565966442519
153.0,14.390528493293495,12.344487287489786,16.235840102421207
154.0,14.433380507469053,12.37775065142243,16.285784535445572
155.0,14.4761056721234,12.410348741884711,16.335576990380883
156.0,14.518705107122292,12.443303353231357,16.385277387257858
157.0,14.561179915950307,12.475783050511804,16.434641357944383
158.0,14.603531186044364,12.508230572799507,16.484033531329985
159.0,14.645759989118556,12.540869839784019,16.533059882960753
160.0,14.687867381480595,12.573473785122726,16.582187001577296
161.0,14.729854404340095,12.606039444364393,16.630935101404273
162.0,14.771722084108982,12.638415900747658,16.67961404622477
163.0,14.813471432694252,12.67053744681135,16.72812948525223
164.0,14.855103447783334,12.702518068893456,16.776576432016547
165.0,14.896619113122277,12.734489240696995,16.824762026106864
166.0,14.938019398786963,12.766930886072837,16.872945598508192
167.0,14.979305261447587,12.799019035605104,16.921174358221545
168.0,15.020477644626583,12.830649353887617,16.969188364618137
169.0,15.061537478950237,12.862300161892362,17.017106112223267
170.0,15.102485682394086,12.893793212840734,17.064647353087572
171.0,15.143323160522398,12.925054945775853,17.11228063351855
172.0,15.184050806721825,12.956293370231956,17.159349576536737
