,energies_meV,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,    ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,        ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40
10.0,10.5,0.20692394423944238,0.0,0.06895756457564575,0.39976681016810167,0.34656877818778187,0.2317420049200492,0.01379920049200492,0.127870028700287,0.21248462484624847,0.03431221812218122,0.046855781057810575,0.26310731857318576,0.27621463714637146,0.08460178351783518,0.20615518655186552,0.056362751127511275,0.0,0.10753638786387863,0.17590457154571545,0.24409337843378434,0.11004766297662977,0.09222529725297253,0.3415590405904059,0.13272601476014761,0.20388735137351374,0.058169331693316936,0.19021627716277162,0.0,0.278879663796638,0.14796022960229602,0.10243696186961869,0.16920356703567035,0.03290282902829028,0.2309091840918409,0.16806324313243132,0.00852039770397704,0.0,0.29112853628536284,0.14437269372693726,0.25324159491594916,0.20920459204592046
11.0,11.5,0.29560014350143504,0.0,0.1252050020500205,0.3351271012710127,0.30856652316523164,0.3222760352603526,0.08077080770807708,0.17965867158671586,0.24523370233702338,0.1436808118081181,0.1728039155391554,0.2850809758097581,0.2683348708487085,0.21090867158671586,0.2664129766297663,0.12051558015580156,0.0,0.21213868388683887,0.2659773472734727,0.25461254612546125,0.17974835998359984,0.20694956949569496,0.3031852193521935,0.1718429684296843,0.26865518655186554,0.18501435014350143,0.2839022140221402,0.0,0.2922816728167282,0.2214278392783928,0.15628843788437885,0.24204335793357934,0.128690036900369,0.29849579745797455,0.21946750717507174,0.055363366133661336,0.0,0.28983446084460845,0.22491287412874128,0.2654135916359164,0.2577132021320213
12.0,12.5,0.22132533825338255,0.0,0.15452029520295202,0.23991646166461664,0.2262838253382534,0.2728321033210332,0.1765580155801558,0.17144577695776958,0.20407954079540797,0.2099989749897499,0.26042947929479293,0.22404161541615417,0.20573236982369825,0.26268450184501846,0.23400984009840098,0.15991441164411643,0.0,0.24018552685526856,0.2147140221402214,0.19786541615416153,0.2021320213202132,0.2206590815908159,0.2188140631406314,0.16456539565395653,0.23349733497334973,0.2565856908569086,0.2432221197211972,0.0,0.21432964329643298,0.2097939729397294,0.16703823288232883,0.20998616236162362,0.19780135301353013,0.24065959409594095,0.1887428249282493,0.12242466174661747,0.0,0.2181990569905699,0.21918562935629357,0.1997232472324723,0.2003510660106601
13.0,13.5,0.15817189421894218,0.0,0.14186141861418614,0.1728679786797868,0.16619259942599426,0.19839073390733908,0.1956232062320623,0.13021473964739647,0.15300840508405084,0.17645551455514555,0.22979448544485445,0.16166974169741696,0.14925430504305043,0.21634122591225913,0.1695879458794588,0.15833845838458385,0.0,0.19833948339483395,0.14952337023370232,0.13774856498564986,0.16943419434194343,0.1720479704797048,0.15669844198441985,0.12501281262812627,0.17396986469864698,0.21917281672816727,0.17355986059860598,0.0,0.15144526445264453,0.15797970479704798,0.1393757687576876,0.15129151291512916,0.17612238622386223,0.17093327183271834,0.14140016400164002,0.14082359573595735,0.0,0.1552121771217712,0.16648728987289874,0.13870951209512095,0.1396960844608446
14.0,14.5,0.11088048380483805,0.0,0.10829233292332924,0.12651189011890118,0.1210408979089791,0.14491082410824108,0.1528418409184092,0.09590252152521525,0.11172611726117261,0.12754971299712997,0.16653854038540386,0.11718429684296842,0.10903546535465354,0.15457154571545714,0.11970838458384583,0.12570469454694547,0.0,0.14437269372693726,0.10620387453874539,0.09536439114391145,0.125,0.11927275522755228,0.11389145141451415,0.09207154571545716,0.12771627716277162,0.16149036490364904,0.12200184501845018,0.0,0.10733138581385814,0.11003485034850348,0.10253946289462895,0.10572980729807298,0.12918972939729398,0.12038745387453874,0.09929786797867979,0.11258456334563345,0.0,0.11701773267732678,0.11709460844608446,0.09929786797867979,0.09312218122181222
15.0,15.5,0.08136018860188601,0.0,0.07928454284542845,0.08854807298072981,0.08712587125871259,0.10408979089790898,0.10956078310783107,0.06504971299712997,0.08287207872078721,0.09146935219352194,0.12079745797457975,0.08197519475194752,0.0786310988109881,0.11140580155801558,0.08353833538335384,0.09230217302173022,0.0,0.10279571545715457,0.07563294382943829,0.06753536285362853,0.09036746617466175,0.08180863058630586,0.08083487084870848,0.06730473554735547,0.09140528905289053,0.11287925379253792,0.08611367363673637,0.0,0.0757610701107011,0.07775984009840098,0.0734419844198442,0.07342917179171791,0.08519116441164412,0.08522960229602296,0.06976476014760148,0.0762479499794998,0.0,0.08256457564575646,0.08358958589585896,0.06739442394423945,0.06397345223452235
16.0,16.5,0.06038591635916359,0.0,0.05300584255842558,0.06257687576875769,0.06451158261582615,0.0730960434604346,0.07937423124231242,0.04462638376383764,0.05875871258712587,0.06556221812218122,0.08584460844608446,0.05818214432144322,0.058617773677736774,0.07978423534235342,0.05807964329643296,0.06308938089380894,0.0,0.07218634686346863,0.052083333333333336,0.04617671176711767,0.06282031570315703,0.05796432964329643,0.05665744157441575,0.048393296432964326,0.0652419024190242,0.08018142681426814,0.0601040385403854,0.0,0.051314575645756456,0.05353116031160311,0.05233958589585896,0.051788642886428864,0.057874641246412464,0.05831027060270603,0.048393296432964326,0.05249333743337433,0.0,0.06077029520295203,0.05590149651496515,0.04606139811398114,0.04412669126691267
17.0,17.5,0.040923534235342354,0.0,0.037130996309963096,0.041820418204182044,0.04429325543255432,0.05347990979909799,0.055850246002460024,0.03139093890938909,0.04221760967609676,0.04529264042640426,0.06224374743747437,0.042845428454284545,0.0412310373103731,0.05704182041820418,0.039924149241492415,0.04544639196391964,0.0,0.05071238212382124,0.03588817138171382,0.03092968429684297,0.04467763427634276,0.03886070110701107,0.039911336613366134,0.03419690446904469,0.047855166051660514,0.05604243542435424,0.04089790897908979,0.0,0.036503177531775316,0.03804069290692907,0.034606908569085694,0.03578567035670357,0.04059040590405904,0.04119259942599426,0.032838765887658876,0.03745131201312013,0.0,0.041064473144731446,0.041154161541615414,0.03365877408774088,0.02909747847478475
18.0,18.5,0.030148113981139812,0.0,0.02597119721197212,0.030007175071750717,0.03178813038130381,0.03669536695366954,0.03920664206642067,0.020948646986469865,0.030980934809348094,0.03164719147191472,0.043204182041820416,0.02922560475604756,0.027931529315293153,0.03996258712587126,0.028687474374743747,0.03210844608446085,0.0,0.03668255432554326,0.02416461664616646,0.021153649036490366,0.03163437884378844,0.026727142271422713,0.027278085280852807,0.023869926199261992,0.03509378843788438,0.04068009430094301,0.02973810988109881,0.0,0.02504868798687987,0.02608651086510865,0.023895551455514554,0.024600246002460024,0.026150574005740057,0.02770090200902009,0.022691164411644118,0.024638683886838868,0.0,0.029955924559245593,0.027803403034030342,0.02069239442394424,0.020256765067650676
19.0,19.5,0.021038335383353833,0.0,0.01733548585485855,0.020256765067650676,0.02233241082410824,0.02556119311193112,0.02822621976219762,0.01369669946699467,0.02221709717097171,0.02149958999589996,0.03217250922509225,0.020769270192701927,0.020871771217712175,0.028469659696596965,0.02099989749897499,0.022396473964739646,0.0,0.02484368593685937,0.01613109881098811,0.01470889708897089,0.021653341533415336,0.017796740467404672,0.020128638786387865,0.016541102911029112,0.023408671586715866,0.028802788027880277,0.02038489134891349,0.0,0.01674610496104961,0.018078618286182863,0.016297662976629768,0.016784542845428456,0.017796740467404672,0.01845018450184502,0.01581078310783108,0.016810168101681018,0.0,0.020833333333333332,0.01886018860188602,0.013735137351373513,0.013171381713817138
