energy_mev,eta_tot_lower,eta_tot_median,eta_tot_upper,eta_a_lower,eta_a_median,eta_a_upper,eta_f_lower,eta_f_median,eta_f_upper,eta_c_lower,eta_c_median,eta_c_upper,eta_o_lower,eta_o_median,eta_o_upper,eta_t_lower,eta_t_median,eta_t_upper,a_abs
105.5632559,0.044142553,0.056377611,0.067052012,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.598574611,0.692206089,0.750317758,0.39,0.46,0.53,0.869841978,0.873648895,0.877455812,0.265436529
105.6230282,0.044028494,0.056216903,0.066861134,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.598713488,0.692096559,0.750204761,0.39,0.46,0.53,0.868734463,0.872571438,0.876408413,0.265048652
105.6828129,0.04391425,0.056059873,0.066675029,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.598783696,0.691976146,0.750091067,0.39,0.46,0.53,0.867626719,0.871493758,0.875360798,0.264681186
105.7425852,0.043788556,0.055891977,0.066476391,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.598787255,0.691845033,0.749976684,0.39,0.46,0.53,0.866464386,0.870362824,0.874261263,0.26428145
105.8023575,0.043654727,0.055717311,0.066270081,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.598725756,0.691703238,0.749861525,0.39,0.46,0.53,0.865287036,0.869217241,0.873147446,0.26385685
105.8621298,0.043514985,0.055538601,0.06605934,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.598600312,0.691550716,0.749745514,0.39,0.46,0.53,0.864109685,0.868071657,0.872033629,0.26341572
105.921902,0.043371857,0.05535899,0.065847904,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.598411596,0.691387331,0.749628552,0.39,0.46,0.53,0.862932335,0.866926074,0.870919812,0.262972927
105.9816743,0.043218814,0.055170092,0.065625801,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.598159855,0.69121286,0.749510522,0.39,0.46,0.53,0.861682441,0.865709748,0.869737055,0.262510062
106.041459,0.043064979,0.054983522,0.065406853,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.597844839,0.691026949,0.749391263,0.39,0.46,0.53,0.860401986,0.864463621,0.868525257,0.262069942
106.1012313,0.042915215,0.054805479,0.065198439,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.597466075,0.690829264,0.749270663,0.39,0.46,0.53,0.859121796,0.863217753,0.867313709,0.261673206
106.161016,0.042767017,0.054632796,0.064996805,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.597022372,0.690619211,0.749148487,0.39,0.46,0.53,0.857841341,0.861971626,0.866101911,0.261305272
106.2207883,0.042605894,0.054447006,0.064779996,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.596512441,0.690396258,0.749024576,0.39,0.46,0.53,0.856486616,0.860653055,0.864819495,0.260899849
106.2805606,0.042433095,0.054249764,0.064549997,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.595934258,0.690159624,0.748898663,0.39,0.46,0.53,0.855086712,0.859290418,0.863494124,0.260456199
106.3403329,0.042254704,0.05404893,0.064316178,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.595285405,0.689908446,0.748770476,0.39,0.46,0.53,0.853686809,0.85792778,0.862168752,0.259998758
106.4001051,0.042073029,0.053847579,0.064082223,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.594562944,0.689641716,0.748639703,0.39,0.46,0.53,0.852286905,0.856565143,0.860843381,0.259542588
106.4598774,0.041884042,0.053640708,0.063842208,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.593763386,0.689358273,0.748505993,0.39,0.46,0.53,0.850832456,0.855149246,0.859466036,0.25908004
106.5196621,0.04169161,0.053433457,0.063602289,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.592882449,0.68905671,0.748368917,0.39,0.46,0.53,0.849330445,0.853686909,0.858043373,0.258634259
106.5794344,0.041502891,0.05323521,0.063373671,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.59191575,0.688735613,0.748228077,0.39,0.46,0.53,0.847828745,0.852224876,0.856621006,0.258237071
106.6392191,0.041314789,0.053042297,0.063152042,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.590857414,0.68839308,0.748082896,0.39,0.46,0.53,0.846326735,0.850762539,0.855198343,0.257871789
106.6989914,0.041119243,0.052844662,0.062925483,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.58970161,0.688027226,0.747932845,0.39,0.46,0.53,0.844801668,0.849277608,0.853753548,0.257497011
106.7587637,0.040910667,0.052635472,0.062685922,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.588440965,0.687635652,0.747777217,0.39,0.46,0.53,0.843245705,0.847762401,0.852279097,0.257082401
106.818536,0.040691433,0.05241815,0.062437505,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.587067318,0.687215684,0.747615236,0.39,0.46,0.53,0.841689742,0.846247195,0.850804647,0.256636101
106.8783083,0.040461741,0.052193388,0.06218114,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.58557139,0.686764241,0.747446011,0.39,0.46,0.53,0.840133779,0.844731988,0.849330197,0.256162316
106.9380805,0.040223404,0.051964034,0.061920316,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.583942633,0.686277768,0.74726851,0.39,0.46,0.53,0.838580836,0.843219615,0.847858394,0.255675196
106.9978652,0.039977448,0.05173202,0.061657454,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.582168687,0.685752038,0.747081497,0.39,0.46,0.53,0.837034419,0.841713356,0.846392293,0.255184609
107.0576375,0.03972207,0.051495659,0.061390677,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.580236685,0.685182497,0.746883654,0.39,0.46,0.53,0.835488323,0.840207409,0.844926495,0.2546855
107.1174098,0.039453538,0.051250892,0.061115307,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.578130829,0.684563479,0.746673313,0.39,0.46,0.53,0.833942227,0.838701462,0.843460698,0.254159688
107.1771945,0.039170018,0.050996211,0.060829734,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.575833077,0.683888342,0.746448507,0.39,0.46,0.53,0.832416402,0.837215199,0.842013996,0.253595752
107.2369668,0.03887694,0.050739614,0.060543706,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.573324444,0.683149736,0.746207059,0.39,0.46,0.53,0.830976606,0.835812477,0.840648347,0.253016458
107.2967391,0.038562686,0.050467088,0.06024078,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.570581815,0.682338532,0.745946223,0.39,0.46,0.53,0.82953681,0.834409754,0.839282699,0.252380238
107.3565114,0.038229734,0.050183083,0.059926573,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.567579436,0.681444076,0.745662768,0.39,0.46,0.53,0.828097014,0.833007032,0.83791705,0.251712522
107.4162837,0.037882914,0.04989536,0.059610733,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.564288039,0.680453675,0.745352799,0.39,0.46,0.53,0.826668197,0.83161499,0.836561783,0.251053138
107.4760559,0.037544093,0.04963448,0.059330254,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.56067438,0.679352135,0.745011591,0.39,0.46,0.53,0.825405375,0.830384432,0.835363488,0.250516132
107.5358406,0.037190117,0.049372022,0.059051807,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.556699889,0.678120882,0.74463328,0.39,0.46,0.53,0.824142292,0.829153618,0.834164944,0.25001448
107.5956129,0.036816163,0.049103645,0.05877091,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.552323524,0.676738244,0.74421089,0.39,0.46,0.53,0.82287947,0.827923059,0.832966649,0.249533813
107.6553976,0.036414981,0.048822075,0.058479765,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.547495296,0.67517658,0.743735368,0.39,0.46,0.53,0.821616386,0.826692246,0.831768105,0.249047029
107.7151699,0.036003582,0.048552572,0.058209731,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.542163149,0.673403309,0.743195753,0.39,0.46,0.53,0.820543144,0.825646256,0.830749369,0.248639057
107.7749422,0.035555159,0.04826189,0.057922418,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.5362659,0.671377039,0.742577777,0.39,0.46,0.53,0.819488264,0.824618144,0.829748024,0.248205453
107.8347145,0.035064962,0.04794604,0.057614804,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.529737147,0.669046584,0.741863217,0.39,0.46,0.53,0.818433384,0.823590032,0.828746679,0.247748864
107.8944868,0.034531813,0.04760565,0.057289898,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.522504799,0.666347704,0.741028349,0.39,0.46,0.53,0.817378505,0.82256192,0.827745334,0.247295013
107.9542591,0.033971365,0.047264275,0.056979024,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.514492338,0.66319918,0.740041837,0.39,0.46,0.53,0.816474679,0.821680935,0.826887192,0.24695179
108.0140437,0.033365956,0.04689877,0.056658275,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.505619353,0.659496753,0.738861388,0.39,0.46,0.53,0.815619053,0.820846897,0.826074742,0.246668104
108.073816,0.032702581,0.046489688,0.056309164,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.495813314,0.655109383,0.737430134,0.39,0.46,0.53,0.814763604,0.820013032,0.82526246,0.246404378
108.1336007,0.031972923,0.046021007,0.05591883,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.485002974,0.649864416,0.735667686,0.39,0.46,0.53,0.813907978,0.819178994,0.82445001,0.246139277
108.193373,0.031181408,0.045489506,0.055491643,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.473144887,0.643543429,0.73346146,0.39,0.46,0.53,0.813146721,0.818436895,0.823727069,0.24590906
108.2531453,0.030321615,0.044869429,0.055006818,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.460222701,0.635861006,0.730646386,0.39,0.46,0.53,0.81244822,0.817755935,0.82306365,0.245691997
108.3129176,0.029389881,0.044128124,0.054436822,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.446275288,0.626453777,0.726976657,0.39,0.46,0.53,0.811749718,0.817074975,0.822400231,0.245465741
108.3726899,0.028395488,0.04323833,0.053760915,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.431418659,0.614868203,0.722075109,0.39,0.46,0.53,0.811051217,0.816394014,0.821736812,0.245252493
108.4324622,0.027357428,0.042171717,0.052952467,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.415872786,0.600566241,0.715345764,0.39,0.46,0.53,0.810393006,0.815752308,0.82111161,0.2450916
108.4922469,0.026297759,0.040889996,0.051955105,0.947489404,0.954389856,0.963024089,0.74,0.8,0.86,0.399983345,0.582973748,0.705817611,0.39,0.46,0.53,0.809789568,0.815163964,0.82053836,0.244990623
