mass_eV,chi,q_disc,probability
0.0202,3.8566e-11,356.7522610554585,1.0
0.0202,4.8939e-11,356.7522610554585,1.0
0.0202,6.2102e-11,356.7522610554585,1.0
0.0202,7.8805e-11,356.7522610554585,1.0
0.0202,1e-10,356.7522610554585,1.0
0.021,1e-13,260.6960677309513,0.0
0.021,1.27e-13,260.6960677309513,0.0
0.021,1.61e-13,260.6960677309513,0.0
0.021,2.04e-13,260.6960677309513,0.0
0.021,2.59e-13,260.6960677309513,0.0
0.021,3.29e-13,260.6960677309513,0.0
0.021,4.17e-13,260.6960677309513,0.01098901098901099
0.021,5.3e-13,260.6960677309513,0.0
0.021,6.72e-13,260.6960677309513,0.0
0.021,8.53e-13,260.6960677309513,0.0
0.021,1.083e-12,260.6960677309513,0.0
0.021,1.374e-12,260.6960677309513,0.0
0.021,1.743e-12,260.6960677309513,0.0
0.021,2.212e-12,260.6960677309513,0.0
0.021,2.807e-12,260.6960677309513,0.0
0.021,3.562e-12,260.6960677309513,0.0
0.021,4.52e-12,260.6960677309513,0.01098901098901099
0.021,5.736e-12,260.6960677309513,0.017982017982017984
0.021,7.279e-12,260.6960677309513,0.028971028971028972
0.021,9.237e-12,260.6960677309513,0.1088911088911089
0.021,1.1721e-11,260.6960677309513,0.2837162837162837
0.021,1.4874e-11,260.6960677309513,0.6643356643356644
0.021,1.8874e-11,260.6960677309513,0.961038961038961
0.021,2.395e-11,260.6960677309513,1.0
0.021,3.0392e-11,260.6960677309513,1.0
0.021,3.8566e-11,260.6960677309513,1.0
0.021,4.8939e-11,260.6960677309513,1.0
0.021,6.2102e-11,260.6960677309513,1.0
0.021,7.8805e-11,260.6960677309513,1.0
0.021,1e-10,260.6960677309513,1.0
0.0218,1e-13,284.458941612779,0.0
0.0218,1.27e-13,284.458941612779,0.0
0.0218,1.61e-13,284.458941612779,0.0
0.0218,2.04e-13,284.458941612779,0.0
0.0218,2.59e-13,284.458941612779,0.0
0.0218,3.29e-13,284.458941612779,0.0
0.0218,4.17e-13,284.458941612779,0.0
0.0218,5.3e-13,284.458941612779,0.0
0.0218,6.72e-13,284.458941612779,0.0
0.0218,8.53e-13,284.458941612779,0.0
0.0218,1.083e-12,284.458941612779,0.0
0.0218,1.374e-12,284.458941612779,0.0
0.0218,1.743e-12,284.458941612779,0.0
0.0218,2.212e-12,284.458941612779,0.0
0.0218,2.807e-12,284.458941612779,0.0
0.0218,3.562e-12,284.458941612779,0.0
0.0218,4.52e-12,284.458941612779,0.0
0.0218,5.736e-12,284.458941612779,0.01098901098901099
0.0218,7.279e-12,284.458941612779,0.02197802197802198
0.0218,9.237e-12,284.458941612779,0.059940059940059943
0.0218,1.1721e-11,284.458941612779,0.23676323676323677
0.0218,1.4874e-11,284.458941612779,0.6743256743256744
0.0218,1.8874e-11,284.458941612779,0.968031968031968
0.0218,2.395e-11,284.458941612779,1.0
0.0218,3.0392e-11,284.458941612779,1.0
0.0218,3.8566e-11,284.458941612779,1.0
0.0218,4.8939e-11,284.458941612779,1.0
0.0218,6.2102e-11,284.458941612779,1.0
0.0218,7.8805e-11,284.458941612779,1.0
0.0218,1e-10,284.458941612779,1.0
0.0226,1e-13,212.361666135447,0.0
0.0226,1.27e-13,212.361666135447,0.0
0.0226,1.61e-13,212.361666135447,0.0
0.0226,2.04e-13,212.361666135447,0.0
0.0226,2.59e-13,212.361666135447,0.0
0.0226,3.29e-13,212.361666135447,0.0
0.0226,4.17e-13,212.361666135447,0.0
