mass_eV,chi_1pct,chi_5pct,chi_10pct,chi_20pct,chi_30pct,chi_40pct,chi_50pct,chi_60pct,chi_70pct,chi_80pct,chi_90pct
0.0751,4.992227204043404e-12,6.107076867486961e-12,6.888734816206392e-12,7.726871800447127e-12,8.348874919685263e-12,9.020948480148953e-12,9.579987900943532e-12,1.0096491908579644e-11,1.0640843173713593e-11,1.1214543078210248e-11,1.2110058680536512e-11
0.0763,6.165847667816804e-12,7.52748787455626e-12,8.307006722377986e-12,9.511304533508697e-12,1.0133898843093194e-11,1.0797247149457185e-11,1.1504017142021982e-11,1.2210604407834883e-11,1.294004662985435e-11,1.3713064578143569e-11,1.4532261397766944e-11
0.0792,4.344941017625617e-12,5.1007328018217185e-12,5.835205754809989e-12,6.652127910713247e-12,7.387057334674754e-12,7.743519624094052e-12,8.117182993459162e-12,8.508877480505065e-12,8.9194731764193e-12,9.511270107137258e-12,1.0654717097082685e-11
0.0821,3.8288829151638194e-12,5.044508470180281e-12,6.005817266637543e-12,6.997785094060318e-12,7.588550456524943e-12,8.026505661130453e-12,8.489736412408534e-12,8.97970142863192e-12,9.598898185410017e-12,1.0371399060356857e-11,1.1206069320817202e-11
0.0852,6.2459285788430575e-12,7.601954032269001e-12,8.38918432040512e-12,9.530373800110993e-12,1.013113082689077e-11,1.0769757197811221e-11,1.1448640046375067e-11,1.2148128231381446e-11,1.2875660225405452e-11,1.3646762948372037e-11,1.4464045781636444e-11
0.0884,3.486448704599857e-12,6.3714185996570435e-12,7.470247902224725e-12,8.4013893994014e-12,9.328960440875656e-12,9.820809655141556e-12,1.0338590552911442e-11,1.0883670325978746e-11,1.1457488248360167e-11,1.2380063202735636e-11,1.3656608242342924e-11
0.09,6.362647383468083e-12,7.950754108780701e-12,9.270591457757285e-12,1.0129711855537315e-11,1.1068448301683288e-11,1.1917597605418778e-11,1.249154191897382e-11,1.3093127044542218e-11,1.372368414696124e-11,1.4384608499163943e-11,1.5689195957149812e-11
0.0917,6.3352193877093964e-12,8.69110390314877e-12,9.688758782332616e-12,1.0883637624908026e-11,1.1939597580515124e-11,1.256375038228929e-11,1.3220531312217316e-11,1.3911646033950469e-11,1.463888937618429e-11,1.5894217385408697e-11,1.7504834896638584e-11
0.0945,5.0636009447140114e-12,7.484141021813899e-12,8.895848641853669e-12,9.93161741329398e-12,1.077350194986304e-11,1.1686751455844418e-11,1.2343876866729175e-11,1.3024989621117747e-11,1.3743684942895815e-11,1.4502036570019987e-11,1.6150687095827555e-11
0.0952,5.359447128545281e-12,7.507950809123059e-12,8.638545878735315e-12,9.88416721778655e-12,1.0803720776219262e-11,1.1772778184770627e-11,1.2407691367372965e-11,1.307684580918488e-11,1.378208816241713e-11,1.4525364670372168e-11,1.6183192588664964e-11
0.0987,2.1650664311531087e-12,6.566181890784852e-12,7.861928639653456e-12,9.34148996279834e-12,1.0013869128132038e-11,1.0734644613943014e-11,1.1507299877120617e-11,1.2253011913693056e-11,1.3015541512796271e-11,1.382552486397319e-11,1.468591510974912e-11
0.1022,7.124593453156207e-12,1.081269146875318e-11,1.2207604252953645e-11,1.3858589957018474e-11,1.5256072189373888e-11,1.615593377652005e-11,1.71088726476467e-11,1.8118019504313787e-11,1.931047502698974e-11,2.0913339850258723e-11,2.2649250372200606e-11
