m_test,lower_2sigma,lower_1sigma,median,upper_1sigma,upper_2sigma,limit
1.102999999999999953e-01,1.048985567836234603e-11,1.273498147319690456e-11,1.569428234305848588e-11,1.826018898127678238e-11,2.040585237103016444e-11,1.750623294671544462e-11
1.144000000000000017e-01,1.074651947389260856e-11,1.293465728563801138e-11,1.613805401901383505e-11,1.858222503260245185e-11,2.081877590348278897e-11,1.785593900219290283e-11
1.187000000000000000e-01,1.107626572440057272e-11,1.335834581431697404e-11,1.612684154533438556e-11,1.861850550792791167e-11,2.077271918923665065e-11,1.779390606389531133e-11
1.222999999999999921e-01,1.116587611543142535e-11,1.337510547156554706e-11,1.627025479621888715e-11,1.858719780427684218e-11,2.111107071050903204e-11,1.781993855413793352e-11
1.232000000000000040e-01,1.109853320906663682e-11,1.335834581431697404e-11,1.620836534098885563e-11,1.888780862952937899e-11,2.072675298130440511e-11,1.786444194213130596e-11
1.277999999999999969e-01,1.032216115426611936e-11,1.260632456656617892e-11,1.551367101254920175e-11,1.786813093091162866e-11,2.023763028606018575e-11,1.716458675891059818e-11
1.304000000000000159e-01,1.402482173987974753e-11,1.697102661851591324e-11,2.008330151558560737e-11,2.292546580061719796e-11,2.581941637135285505e-11,2.204924906949851974e-11
1.325999999999999956e-01,1.089919664295953212e-11,1.335834581431697404e-11,1.660296748797549844e-11,1.928617090270972910e-11,2.167019539298670804e-11,1.840129750045814671e-11
1.335999999999999965e-01,1.081172645584645197e-11,1.346641893406076646e-11,1.639348741876903947e-11,1.921992292737675731e-11,2.119251147033266871e-11,1.834280336222715366e-11
1.376000000000000001e-01,1.137009001076149585e-11,1.436308176385316493e-11,1.727056573551783569e-11,1.979482557083672712e-11,2.218237884980019992e-11,1.871630048487223784e-11
1.428000000000000103e-01,1.146207753049719007e-11,1.402004203922623634e-11,1.709280134631637652e-11,1.977721518667256298e-11,2.226251548833945520e-11,1.889739055050329258e-11
1.438000000000000111e-01,1.164829121268102182e-11,1.447928350596479422e-11,1.747967869208035244e-11,2.013954244015323576e-11,2.248996079463279142e-11,1.908148769183679000e-11
1.480999999999999817e-01,1.162492072388955579e-11,1.459642535585367242e-11,1.728760094208845578e-11,1.977652897851382665e-11,2.219652633224449186e-11,1.888012059741390269e-11
1.499999999999999944e-01,1.162492072388955579e-11,1.507454687437745413e-11,1.811702808369280440e-11,2.047495458968975785e-11,2.253066315311268574e-11,1.963596788757684094e-11
1.536999999999999755e-01,1.100946327040238364e-11,1.379234401361880103e-11,1.680692828428826526e-11,1.926331900597246675e-11,2.201387358224185744e-11,1.850617150066420276e-11
1.570999999999999897e-01,1.100946327040238364e-11,1.368519528144364285e-11,1.697504761207637476e-11,1.971793533290857409e-11,2.197095745629198937e-11,1.891357101719355238e-11
1.595000000000000029e-01,1.096546298192622006e-11,1.368519528144364285e-11,1.647352782892436045e-11,1.910406865913447657e-11,2.181463675699002168e-11,1.827480694065846478e-11
1.654000000000000192e-01,1.162492072388955579e-11,1.446158161102137829e-11,1.714886138736022999e-11,1.978423914588950168e-11,2.233188084331610968e-11,1.882543025178803958e-11
1.716999999999999915e-01,1.228258735175659978e-11,1.546435863823540575e-11,1.837038452084341915e-11,2.147156660311684968e-11,2.416583708666209702e-11,2.057333614086751715e-11
1.780999999999999805e-01,1.390903121905298100e-11,1.700960307340303321e-11,2.081955452067718589e-11,2.408386924161507210e-11,2.683325274118586204e-11,2.314565403219475874e-11
1.801999999999999991e-01,1.675046020966614932e-11,2.072831332424867166e-11,2.521514489489553946e-11,2.912083534425613324e-11,3.284311662429343749e-11,2.755307336828146032e-11
1.848000000000000198e-01,1.835780287194593370e-11,2.219535215261008639e-11,2.690974222596541638e-11,3.103990055735059123e-11,3.495219301852163257e-11,2.988563604721843638e-11
1.854999999999999982e-01,2.758988578893439185e-11,3.302331860535122110e-11,3.973377561030005605e-11,4.588921269506316361e-11,5.094123436321698012e-11,4.403605497228476550e-11
1.916999999999999815e-01,1.588196996569636524e-11,1.953961809706889561e-11,2.320644136004075993e-11,2.685164209794991775e-11,3.033125446103599713e-11,2.572444554724162909e-11
1.932999999999999996e-01,1.614750049226462888e-11,1.928515838615464654e-11,2.332524217771194003e-11,2.655421017101941252e-11,2.927111294490350493e-11,2.543504437888471595e-11
